Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
3,male,28.0,0,0,7.8958,S
1,female,32.0,1,0,82.1708,C
2,male,,0,0,10.5,S
3,female,16.0,0,1,12.2875,S
1,male,45.0,0,0,35.5,S
1,female,27.0,0,0,47.0222,S
3,male,17.0,1,0,8.7106,S
3,male,16.0,0,1,9.9736,Q
1,female,20.0,0,0,37.5967,C
3,male,4.0,1,1,7.1,S
2,male,16.0,0,0,7.8071,S
2,male,29.0,2,0,14.6597,S
3,female,51.0,0,1,7.1762,C
3,female,18.0,0,0,9.7336,C
3,male,11.0,0,0,7.3692,C
2,female,10.0,0,0,8.8321,S
3,female,37.0,0,0,8.7085,S
3,female,30.0,0,0,9.8622,C
2,female,14.0,0,0,4.5343,S
2,female,,0,0,24.6368,S
1,male,44.0,1,0,206.8554,S
2,male,22.0,0,2,20.2471,S
3,female,33.0,0,0,13.2091,S
2,male,1.0,0,0,11.9942,S
1,female,39.0,0,0,59.6715,S
3,male,48.0,0,1,7.3753,C
2,female,44.0,1,2,15.3613,S
1,male,17.0,0,0,61.728,Q
3,female,24.0,0,0,10.2034,Q
3,female,27.0,0,0,8.6181,S
1,male,36.0,1,0,47.4885,S
1,male,1.0,0,0,30.2089,S
2,female,24.0,0,0,29.9814,Q
3,male,41.0,0,1,4.8734,S
3,male,26.0,0,0,10.4622,C
2,male,38.0,0,0,22.9629,S
2,male,12.0,0,0,13.1199,S
3,male,22.0,1,1,4.9852,S
3,female,52.0,1,0,7.169,S
3,male,28.0,0,0,5.3228,S
3,female,,0,0,9.3269,S
3,female,40.0,0,0,8.2664,Q
3,female,35.0,1,1,6.8121,C
1,male,23.0,0,0,82.9614,S
3,male,36.0,0,0,10.6896,C
1,female,34.0,1,1,25.435,S
3,female,45.0,2,0,8.2113,S
2,male,36.0,1,0,21.3691,S
3,male,27.0,1,0,7.7844,C
3,female,56.0,1,1,5.1794,Q
